ECONOMIC_DATA	经济数据
CITIZEN_STATUS	1、居民情况(钱单位:1/100克朗)
CITIZEN_COUNT	居民人数
FAMILY_COUNT	家庭户数
SALARY_PER_FAMILY	每户居民收入
CITIZEN_TAX_PER_FAMILY	居民平均纳税
EXPENSE_PER_FAMILY	每户固定支出
AVERAGE_TRANPORT_FEE	平均公交费用
HIGH_SALARY_COUNT	收支优秀的户数
MEDIUM_SALARY_COUNT	收支尚可的户数
LOW_SALARY_COUNT	收支糟糕的户数
WEALTH_HIGH_COUNT	富裕家庭
WEALTH_MEDIUM_COUNT	中产家庭
WEALTH_LOW_COUNT	贫穷家庭
BUILDING_STATUS	2、建筑情况
PROFIT_BUIDLING_COUNT	赚钱的公司数目
EXTERNAL_INVESTMENTS	可用于投资办公的钱
TIP1	提示1
TIP2	提示2
TIP3	提示3
TIP4	提示4
TIP5	提示5
TIP6	提示6
POLICY_COST	3、Mod新增政策费(钱单位: 克朗)
LIVING_ALLOWANCE	最低生活保障和福利
USE_TMPE_TIP	最好用TMPE并且禁止车辆消失
STARTUP_TIP	作为起步的城市,工业化是唯一的致富途径
TOURIST_TIP	旅游商业会帮你留住更多游客,游客会带来大量访问收入
OFFICE_TIP	办公会帮你得到外部投资,外部投资靠工商业利润得到
UNLOCK_TIP	不要上来就解锁全部,发展城市请参考真实世界
UG_TIP	更多细节请阅读工坊页面的UG
CITY_SALARY_TAX_INCOME_TITLE	1、城市居民所得税收入
SALARY_TAX_INCOME	居民所得税收入
TOURIST_INCOME_TITLE	2、城市旅游收入
FROM_RESIDENT	来自本地游客
FROM_TOURIST	来自外地游客
LAND_TAX_INCOME_TITLE	3、城市地税收入
RESIDENT_HIGH_LAND_INCOME	高密度居民区地税收入
RESIDENT_LOW_LAND_INCOME	低密度居民区地税收入
RESIDENT_HIGH_ECO_LAND_INCOME	高密度生态居民区地税收入
RESIDENT_LOW_ECO_LAND_INCOME	低密度生态居民区地税收入
COMMERICAL_HIGH_LAND_INCOME	高密度商业地税收入
COMMERICAL_LOW_LAND_INCOME	低密度商业地税收入
COMMERICAL_ECO_LAND_INCOME	生态商业地税收入
COMMERICAL_TOURISM_LAND_INCOME	旅游商业地税收入
COMMERICAL_LEISURE_LAND_INCOME	娱乐商业地税收入
