ECONOMIC_DATA	経済データ
CITIZEN_STATUS	1. 市民の状態(単位: 1/100₡)
CITIZEN_COUNT	市民数
FAMILY_COUNT	世帯数
SALARY_PER_FAMILY	一世帯あたりの給与
CITIZEN_TAX_PER_FAMILY	一世帯あたりの市民税
EXPENSE_PER_FAMILY	一世帯あたりの支出
AVERAGE_TRANPORT_FEE	平均交通費
LEVEL3_HIGH_WEALTH	レベル3の富裕層
LEVEL2_HIGH_WEALTH	レベル2の富裕層
LEVEL1_HIGH_WEALTH	レベル1の富裕層
WEALTH_HIGH_COUNT	富裕層の人数
WEALTH_MEDIUM_COUNT	中間層の人数
WEALTH_LOW_COUNT	貧困層の人数
BUILDING_STATUS	2. 建物の状況
PROFIT_BUIDLING_COUNT	建物の利益 (I&C)
EXTERNAL_INVESTMENTS	外部投資 (オフィス用)
TIP1	ヒント1
TIP2	ヒント2
TIP3	ヒント3
TIP4	ヒント4
TIP5	ヒント5
TIP6	ヒント6
POLICY_COST	3. Modの方針費用 (₡)
LIVING_ALLOWANCE	生活保護と手当て
UNFINISHED_DEAL_LOST	未払い金の返金
USE_TMPE_TIP	TMPEを使用して車両のスポーンを無効化
STARTUP_TIP	工業化は経済と財政を最初から改善するために重要です。
TOURIST_TIP	観光客の呼び込むために商業地区の観光化に挑戦してみて下さい。
OFFICE_TIP	オフィスは都市の産業に依存して、「外部投資」を受けることができます。
UNLOCK_TIP	ゲーム開始時に全てをアンロック MODで解除しないで下さい！
UG_TIP	詳細はUGで確認して下さい
CITY_SALARY_TAX_INCOME_TITLE	都市の所得税の収入
SALARY_TAX_INCOME	都市の所得税の収入
TOURIST_INCOME_TITLE	2. 都市の観光収入
FROM_RESIDENT	住民から
FROM_TOURIST	観光客から
LAND_TAX_INCOME_TITLE	3. 都市の地価税の収入
RESIDENT_HIGH_LAND_INCOME	高密度住宅の地価収入
RESIDENT_LOW_LAND_INCOME	低密度住宅の地価収入
RESIDENT_HIGH_ECO_LAND_INCOME	高密度エコ住宅の地価収入
RESIDENT_LOW_ECO_LAND_INCOME	低密度エコ住宅の地価収入
COMMERICAL_HIGH_LAND_INCOME	高密度商業の地価収入
COMMERICAL_LOW_LAND_INCOME	低密度商業の地価収入
COMMERICAL_ECO_LAND_INCOME	エコ特化商業の地価収入
COMMERICAL_TOURISM_LAND_INCOME	観光特化商業の地価収入
COMMERICAL_LEISURE_LAND_INCOME	レジャー特化商業の地価収入
INDUSTRIAL_GENERAL_LAND_INCOME	一般産業の地価収入
INDUSTRIAL_FARMING_LAND_INCOME	農業特化産業の地価収入
INDUSTRIAL_FORESTY_LAND_INCOME	林業特化産業の地価収入
INDUSTRIAL_OIL_LAND_INCOME	石油特化産業の地価収入
INDUSTRIAL_ORE_LAND_INCOME	鉱石特化産業の地価収入
OFFICE_GENERAL_LAND_INCOME	一般オフィスの地価収入
OFFICE_HIGH_TECH_LAND_INCOME	ハイテクオフィスの地価収入
CITY_TRADE_INCOME_TITLE	4. 都市の貿易関税の収入
COMMERICAL_HIGH_TRADE_INCOME	高密度商業の貿易収入
COMMERICAL_LOW_TRADE_INCOME	低密度商業の貿易収入
COMMERICAL_ECO_TRADE_INCOME	エコ特化商業の貿易収入
COMMERICAL_TOURISM_TRADE_INCOME	観光特化商業の収入
COMMERICAL_LEISURE_TRADE_INCOME	レジャー特化商業の収入
INDUSTRIAL_GENERAL_TRADE_INCOME	一般産業の収入
INDUSTRIAL_FARMING_TRADE_INCOME	農業特化産業の収入
INDUSTRIAL_FORESTY_TRADE_INCOME	林業特化産業の収入
INDUSTRIAL_OIL_TRADE_INCOME	石油特化産業の収入
INDUSTRIAL_ORE_TRADE_INCOME	鉱石特化産業の収入
CITY_PUBLIC_TRANSPORT_INCOME_TITLE	5. 都市の公共交通の収入
BUS	バス
TRAM	トラム
TRAIN	鉄道
SHIP	船舶
PLANE	飛行機
METRO	地下鉄
TAXI	タクシー
CABLECAR	ロープウェイ
MONORAIL	モノレール
CITY_PLAYER_BUILDING_INCOME_TITLE	6. 都市の建物の収入
ROAD	道路 (ガソリンスタンド付)
GARBAGE	ゴミ処理
SCHOOL	教育施設
HEALTHCARE	健康管理
FIRESTATION	消防施設
POLICESTATION	警察施設
PLAYERINDUSTRY	都市所有の産業
CITY_TOTAL_INCOME_TITLE	7. 都市の総収入
CITY_INCOME_DATA	都市の収入データ (₡)
PARLIAMENT_HALL	市役所
PARLIAMENT_SEATS	市議会の議席数
COMMUNIST	共産主義者
GREEN	自然保護主義者
SOCIALIST	社会主義者
LIBERAL	自由主義者
NATIONAL	ナショナリズム主義者
GOVERMENT	政府機関
LEFT_UNION	(左派の組合)
WIDE_LEFT_UNION	(広域左派の組合)
RIGHT_UNION	(右派の組合)
ALL_UNION	(連合の組合)
NEXT_VOTE	次の投票
CURRENT_MEETING_ITEM	現在の議題
RISE_RESIDENT_TAX	住民税を上げる
FALL_RESIDENT_TAX	住民税を下げる
RISE_BENEFIT	手当を上げる
FALL_BENEFIT	手当を下げる
RISE_COMMERIAL_TAX	商業税を上げる
FALL_COMMERIAL_TAX	商業税を下げる
RISE_INDUSTRIAL_TAX	産業税を上げる
FALL_INDUSTRIAL_TAX	産業税を下げる
VOTE_RESULT	投票結果
YES	はい
NO	いいえ
NO_ATTEND	参加しない
CURRENT_POLICY	現在の方針
BENEFIT	手当て
RESIDENT_SALARY_TAX	住民税の収入
COMMERICAL_TRADE_TAX	商業の貿易税
INDUSTRIAL_TRADE_TAX	産業の貿易税
BUILDING_MONEY	建物の資産 (1/100₡)
MATERIAL_BUFFER	原料の一時保管
PRODUCTION_BUFFER	製品の一時保管
AVERAGE_EMPLOYFEE	労働者の平均給与
BUILDING_LANDRENT	建物の地代
PROFIT-SHARING	利益の共有
BUY_PRICE	平均購入価格
SELL_PRICE	平均販売価格
MATERIAL_DIV_PRODUCTION	原料/製品
SELL_TAX	消費税
PROFIT	販売利益
EXCLUDE_VISIT_INCOME	(訪問収入を除外)
FAMILY_STATUS	世帯の状況
FOOD	食品
COAL	石炭
LUMBER	材木
PETROL	ガソリン/ガス
GRAIN_MEAT	穀物や肉
ORE	鉱石
LOG	丸太
OIL	原油
PREGOODS	先行商品
GOODS	商品
PRICE	価格
ANIMALPRODUCTS	畜産物
FLOURS	小麦粉
PAPER	紙
PLANEDTIMBER	製材
PETROLEUM	石油
PLASTICS	プラスチック
GLASS	ガラス
METALS	金属
LUXURY_PRODUCTS	高級品
FAMILY_MONEY	世帯の資産 (1/100₡)
CITIZEN_MONEY	市民の資産 (1/100₡)
FAMILY_SALARY	世帯の給与
FAMILY_GOODS	家庭用品
FAMILY_NEED_GOODS	(家族の必須商品)
CAR_USED	自家用車を使用
MAINTAIN_FEE_TIPS	UIに表示される維持費は、車両の代金に含みません。
LOCAL_WORKERS_DIV_TOTAL_WORKERS	現地の労働者 / 全ての労働者
TOURIST_MONEY	観光客の交通費
SHOW_LACK_OF_RESOURCE	売り切れ時の商業施設で、リソース不足のアイコンを表示
DEBUG_MODE	詳しい情報
REDUCE_CARGO_DESCRIPTION	貨物の量を削減 (DLC Industriesと区画内の建物両方)
REDUCE_CARGO_ENABLE	貨物の減少機能を有効化
INCOMPATIBILITY_CHECK_TIP	Real City(series) Mod が、互換性のないMODを検出しました！
